"case_id","abbrev","signal_density","group_label"
41,"MPN",5881500,"cue"
41,"PH",14483467.6923,"cue"
41,"PMv",6712204.54545,"cue"
41,"PVHd",8808043.47826,"cue"
41,"VMH",3754884.44444,"cue"
41,"ADP",6649400,"cue"
41,"AVP",3032379.31034,"cue"
41,"AVPV",2283538.46154,"cue"
41,"DMH",8010820.75472,"cue"
41,"MEPO",4564432.83582,"cue"
41,"MPO",5665579.08847,"cue"
41,"PD",14356000,"cue"
41,"PS",10532307.6923,"cue"
41,"PVp",1009846.15385,"cue"
41,"PVpo",6585352.94118,"cue"
41,"SBPV",9271610.16949,"cue"
41,"SFO",903500,"cue"
41,"VLPO",2564818.18182,"cue"
41,"ARH",797753.08642,"cue"
41,"PVH",5705307.69231,"cue"
41,"PVa",2688000,"cue"
41,"PVi",2378162.7907,"cue"
41,"SO",3882103.44828,"cue"
41,"ATN",7465097.71574,"cue"
41,"EPI",3439176.76768,"cue"
41,"GENv",12666836.7347,"cue"
41,"ILM",10499322.9665,"cue"
41,"LAT",8561984.48687,"cue"
41,"MED",7777226.72673,"cue"
41,"MTN",30342478.8732,"cue"
41,"RT",6248199.5842,"cue"
41,"GENd",6903821.15869,"cue"
41,"PP",9662235.29412,"cue"
41,"SPA",15983150,"cue"
41,"SPF",11588516.6667,"cue"
41,"VENT",16031918.4742,"cue"
41,"CUN",884747.572816,"cue"
41,"EW",26184250,"cue"
41,"III",9549500,"cue"
41,"IV",11577500,"cue"
41,"LT",7328000,"cue"
41,"MRN",8150328.57926,"cue"
41,"ND",8948545.45455,"cue"
41,"PRC",21434064.5161,"cue"
41,"APN",9162881.18812,"cue"
41,"MPT",16745740,"cue"
41,"NOT",8013189.18919,"cue"
41,"NPC",18762217.3913,"cue"
41,"OP",10292029.4118,"cue"
41,"PPT",15893407.4074,"cue"
41,"RN",8490286.36364,"cue"
41,"RR",7227608.93855,"cue"
41,"SCdg",11442521.3675,"cue"
41,"SCdw",8027871.21212,"cue"
41,"SCig",15542914.0127,"cue"
41,"SCiw",16035595.7728,"cue"
41,"SNr",4044129.60236,"cue"
41,"VTA",7944172.63844,"cue"
41,"VTN",335071.428571,"cue"
41,"IC",1411371.75493,"cue"
41,"MEV",750833.333333,"cue"
41,"NB",3417100,"cue"
41,"PBG",1290111.11111,"cue"
41,"SAG",2299394.73684,"cue"
41,"SCop",15497395.0617,"cue"
41,"SCsg",6454654.44015,"cue"
41,"PPN",4400855.72139,"cue"
41,"CLI",9116566.66667,"cue"
41,"DR",6530245.28302,"cue"
41,"IF",17657071.4286,"cue"
41,"IPN",3778992.12598,"cue"
41,"SNc",4460147.72727,"cue"
41,"BAC",10715333.3333,"cue"
41,"BST",10163860.3604,"cue"
41,"GPe",6616361.11111,"cue"
41,"GPi",7342416.10738,"cue"
41,"MSC",5620507.89096,"cue"
41,"TRS",8016210.52632,"cue"
41,"MA",5629846.77419,"cue"
